,Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Normalized Reviews,Names Mentioned,Food Mentions,Menu Mentions,Theme,Tags,Reversed Index
112,5,"The atmosphere set the tone of our evening.  The hostess was very polite and friendly.  We were seated immediately with our reservation.  We were then greeted by Lindsey who was very polite and professional.  She was a joy to speak too.  Then our main man Peter came over and he was also great.  He had great recommendations and was a pleasure to speak with.  He was funny and made us feel comfortable.  WHEN not IF, we go back we will ask to be put in Peter’s section.  Overall it was an amazing  evening. Thank u to Peter Lindsey the manager and hostess.

Chris & Cara",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Chowder', 'Butter Cake & Creme Brulee', '1Lb Lobster West Coast Dinner Main', 'Coast']",,,"the atmosphere set the tone of our evening.  the hostess was very polite and friendly.  we were seated immediately with our reservation.  we were then greeted by lindsey who was very polite and professional.  she was a joy to speak too.  then our main man peter came over and he was also great.  he had great recommendations and was a pleasure to speak with.  he was funny and made us feel comfortable.  when not if we go back we will ask to be put in peters section.  overall it was an amazing  evening. thank u to peter lindsey the manager and hostess.

chris  cara",chris,[],,Service,1Lb Lobster West Coast Dinner Main,254
112,5,"The atmosphere set the tone of our evening.  The hostess was very polite and friendly.  We were seated immediately with our reservation.  We were then greeted by Lindsey who was very polite and professional.  She was a joy to speak too.  Then our main man Peter came over and he was also great.  He had great recommendations and was a pleasure to speak with.  He was funny and made us feel comfortable.  WHEN not IF, we go back we will ask to be put in Peter’s section.  Overall it was an amazing  evening. Thank u to Peter Lindsey the manager and hostess.

Chris & Cara",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Chowder', 'Butter Cake & Creme Brulee', '1Lb Lobster West Coast Dinner Main', 'Coast']",,,"the atmosphere set the tone of our evening.  the hostess was very polite and friendly.  we were seated immediately with our reservation.  we were then greeted by lindsey who was very polite and professional.  she was a joy to speak too.  then our main man peter came over and he was also great.  he had great recommendations and was a pleasure to speak with.  he was funny and made us feel comfortable.  when not if we go back we will ask to be put in peters section.  overall it was an amazing  evening. thank u to peter lindsey the manager and hostess.

chris  cara",chris,[],,Positive,1Lb Lobster West Coast Dinner Main,254
112,5,"The atmosphere set the tone of our evening.  The hostess was very polite and friendly.  We were seated immediately with our reservation.  We were then greeted by Lindsey who was very polite and professional.  She was a joy to speak too.  Then our main man Peter came over and he was also great.  He had great recommendations and was a pleasure to speak with.  He was funny and made us feel comfortable.  WHEN not IF, we go back we will ask to be put in Peter’s section.  Overall it was an amazing  evening. Thank u to Peter Lindsey the manager and hostess.

Chris & Cara",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Chowder', 'Butter Cake & Creme Brulee', '1Lb Lobster West Coast Dinner Main', 'Coast']",,,"the atmosphere set the tone of our evening.  the hostess was very polite and friendly.  we were seated immediately with our reservation.  we were then greeted by lindsey who was very polite and professional.  she was a joy to speak too.  then our main man peter came over and he was also great.  he had great recommendations and was a pleasure to speak with.  he was funny and made us feel comfortable.  when not if we go back we will ask to be put in peters section.  overall it was an amazing  evening. thank u to peter lindsey the manager and hostess.

chris  cara",peter,[],,Service,1Lb Lobster West Coast Dinner Main,254
112,5,"The atmosphere set the tone of our evening.  The hostess was very polite and friendly.  We were seated immediately with our reservation.  We were then greeted by Lindsey who was very polite and professional.  She was a joy to speak too.  Then our main man Peter came over and he was also great.  He had great recommendations and was a pleasure to speak with.  He was funny and made us feel comfortable.  WHEN not IF, we go back we will ask to be put in Peter’s section.  Overall it was an amazing  evening. Thank u to Peter Lindsey the manager and hostess.

Chris & Cara",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Chowder', 'Butter Cake & Creme Brulee', '1Lb Lobster West Coast Dinner Main', 'Coast']",,,"the atmosphere set the tone of our evening.  the hostess was very polite and friendly.  we were seated immediately with our reservation.  we were then greeted by lindsey who was very polite and professional.  she was a joy to speak too.  then our main man peter came over and he was also great.  he had great recommendations and was a pleasure to speak with.  he was funny and made us feel comfortable.  when not if we go back we will ask to be put in peters section.  overall it was an amazing  evening. thank u to peter lindsey the manager and hostess.

chris  cara",peter,[],,Positive,1Lb Lobster West Coast Dinner Main,254
113,5,Food was amazing and the atmosphere was great. Andrew was super fun and gave great recommendations!!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,['Sushi'],,,food was amazing and the atmosphere was great. andrew was super fun and gave great recommendations,andrew,[],,Food,Sushi,253
113,5,Food was amazing and the atmosphere was great. Andrew was super fun and gave great recommendations!!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,['Sushi'],,,food was amazing and the atmosphere was great. andrew was super fun and gave great recommendations,andrew,[],,Positive,Sushi,253
114,5,Gloria was amazing! Great service 💗,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,"['Mussels', 'Coast']",Difficult to find parking,Paid street parking,gloria was amazing great service ,gloria,[],,Service,Coast,252
114,5,Gloria was amazing! Great service 💗,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,"['Mussels', 'Coast']",Difficult to find parking,Paid street parking,gloria was amazing great service ,gloria,[],,Positive,Coast,252
114,5,Gloria was amazing! Great service 💗,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,"['Mussels', 'Coast']",Difficult to find parking,Paid street parking,gloria was amazing great service ,gloria,[],,Service,Mussels,252
114,5,Gloria was amazing! Great service 💗,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,"['Mussels', 'Coast']",Difficult to find parking,Paid street parking,gloria was amazing great service ,gloria,[],,Positive,Mussels,252
115,5,Gloria was fabulous 👌,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,[],,,gloria was fabulous ,gloria,[],,,,251
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Service,Calamari,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Food,Calamari,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Positive,Calamari,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Service,Carpaccio,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Food,Carpaccio,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Positive,Carpaccio,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Service,Happy Hour,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Food,Happy Hour,250
116,5,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"['Carpaccio', 'Calamari']",,,always come here for happy hour and the lobster and prawn roll was delicious  gloria was amazing and very attentive,gloria,[],Happy Hour,Positive,Happy Hour,250
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Service,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Service,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Service,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Positive,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Positive,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Positive,Happy Hour,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Service,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Service,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Service,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Positive,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Positive,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Positive,Calamari,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Service,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Service,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Service,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Positive,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Positive,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Positive,Carpaccio,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Service,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Service,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Service,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Positive,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Positive,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Positive,Lunch,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Service,Dinner,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Service,Dinner,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Service,Dinner,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Dinner,Positive,Dinner,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Lunch,Positive,Dinner,249
117,5,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"['Calamari', 'Carpaccio']",,,always a great time for hh lunch and dinner server gloria was very helpful impeccable service,gloria,[],Happy Hour,Positive,Dinner,249
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Service,Happy Hour,248
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Positive,Happy Hour,248
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Service,Oysters,248
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Positive,Oysters,248
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Service,Crab Dip,248
118,5,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"['Crab Dip', 'Oysters']",,,we always come here for happy hour great prices and drinks. our server stephen has been very pleasant on our last visit as well,stephen,[],Happy Hour,Positive,Crab Dip,248
119,4,"Had a lovely time at the coast. We really liked out calamari and Gloria was an absolute delight to have as a server, she was quick to anticipate our needs and was always present when we needed her",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,,,4.0,5.0,5.0,['Calamari'],,,had a lovely time at the coast. we really liked out calamari and gloria was an absolute delight to have as a server she was quick to anticipate our needs and was always present when we needed her,gloria,['Calamari'],,Service,Calamari,247
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Service,Happy Hour,246
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Food,Happy Hour,246
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Positive,Happy Hour,246
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Service,Mussels,246
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Food,Mussels,246
120,5,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,[],,,it was our first time at coast were there for the happy hour. all i can say is that the staff are phenomenal ben w. was our server he made sure to check on us very often. the food was great especially the mussels they are big we ordered two bowls we cant get enough . my margarita was a bit too sour for me though. all in all great value for money.,ben w,['Mussels'],Happy Hour,Positive,Mussels,246
121,5,Laura was a great server. We enjoyed the dining experience!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Oysters', 'Coast']",,,laura was a great server. we enjoyed the dining experience,laura,[],,Service,Coast,245
121,5,Laura was a great server. We enjoyed the dining experience!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Oysters', 'Coast']",,,laura was a great server. we enjoyed the dining experience,laura,[],,Positive,Coast,245
121,5,Laura was a great server. We enjoyed the dining experience!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Oysters', 'Coast']",,,laura was a great server. we enjoyed the dining experience,laura,[],,Service,Oysters,245
121,5,Laura was a great server. We enjoyed the dining experience!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"['Oysters', 'Coast']",,,laura was a great server. we enjoyed the dining experience,laura,[],,Positive,Oysters,245
122,3,"I sampled the lobster bisque, which was disappointing. It lacked any lobster flavour or texture, and it tasted more like a corn soup. Furthermore, the octopus was overcooked and not to my liking. I would not recommend ordering these dishes again. However, the server and atmosphere were satisfactory.",3 days ago,2025-02-17,16-Feb-2025 to 22-Feb-2025,Dine in,,,3.0,5.0,4.0,[],,,i sampled the lobster bisque which was disappointing. it lacked any lobster flavour or texture and it tasted more like a corn soup. furthermore the octopus was overcooked and not to my liking. i would not recommend ordering these dishes again. however the server and atmosphere were satisfactory.,No Name Mentioned,['bisque'],,Service,bisque,244
