Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"Peter was amazing!! 1000/10 service. So personable, friendly and lovely",12 hours ago,2025-03-10,09-Mar-2025 to 15-Mar-2025,,,,5,5,5,,,,
5 stars,"Excellent service, even better food!",15 hours ago,2025-03-10,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$60–70,5,4,5,,,,
5 stars,"Great service, Khalil was very attentive and kind. Thank you",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,,5,5,5,Seafood Tower,,,
5 stars,Khalil good,a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$50–60,5,5,5,Seafood Tower,,,
5 stars,"Downtown adventures led us to Coast, one of Glowbal Group’s seafood spots. Since Glowbal restaurants rarely disappoint, we figured we’d give their Happy Hour menu a shot (because let’s be honest—good food at a discount tastes even better). We were tempted by the $75 lobster set, but discipline (and a love for variety) kept us focused on Happy Hour.

Here’s what two hungry adults and two semi-hungry kids devoured:
•	A dozen fresh oysters – Because one does not simply say no to oysters.
•	Crab Dip – A creamy, crabby delight.
•	Wagyu Beef Carpaccio – Thin, fancy, and melt-in-your-mouth good.
•	Mini Lobster and Prawn Roll – indeed, not that Mini.
•	1/2 lb Mussels – Half a pound of ocean goodness.
•	Truffle Fries – Because fries without truffle are just… fries.
•	Fish & Chips (from the main menu) – Obligatory seafood classic.
•	Desserts: Crème Brûlée, Warm Banana Coconut Buttermilk Cake, and New York Cheesecake – Because leaving room for dessert is a life philosophy.

The verdict? No mind-blowing surprises, but everything was well-executed and absolutely worth the Happy Hour pricing. The oysters were fresh, the fries were truffly, and the service was on point.

Would I go back? Absolutely. Would I still regret not ordering the lobster set? Also yes.",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$50–60,4,5,5,,,,
5 stars,Pavlo was the best!!,a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,,,,5,5,5,,,,
5 stars,"Peter was an absolutely amazing waiter! His hospitality was top-notch—he was incredibly kind, attentive, and always reassuring. He made sure we felt comfortable throughout our meal, checking in at just the right moments without being intrusive. His friendly demeanor and professionalism truly elevated the dining experience. It’s rare to find such genuine and thoughtful service—Peter is a gem! Highly recommend asking for him if you dine here!",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Other,$20–30,5,5,5,"Crab Dip, Chef's Selection of Oysters, Truffle Parmesan Fries",,,
5 stars,"A place you have to visit. I was served by Ben W, and his service was excellent, very attentive and friendly.",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,,,5,5,5,,,,
5 stars,"Food was great and Happy Hour Oysters were a steal! Our server, Ben W was extremely hospitable and overall great atmosphere and experience.",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Lunch,$20–30,5,5,5,"Crab Dip, Chef's Selection of Oysters",Plenty of parking,Paid parking lot,
5 stars,Great experience for happy hour and great service from Stephen,a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Other,$100+,5,5,5,,,,
