Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,Great experience and service. Happy hour on a weekend was amazing!,a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Brunch,$90–100,5,5,5,,,,
4 stars,"Our waitress Laura was amazing, and the rest of the staff very nice, food was good but a little expensive, but overall i would recommend.",a day ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$100+,4,5,5,,,,
5 stars,"Petter was amazing, food was great and the drinks were delicious.",2 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,"I had the pleasure of having Peter as our waiter at Coast, and he made our experience truly exceptional. From the moment we arrived, Peter was attentive, friendly, and incredibly professional. I took my sister-in-law out to celebrate her birthday, and Peter went above and beyond to ensure we had a memorable evening. His thoughtful recommendations, prompt service, and warm demeanor really elevated our dining experience. We felt truly taken care of, and it made the night even more special. If you're planning a visit, I highly recommend asking for Peter—he'll make your experience unforgettable! Thank you, Peter, for making our celebration so wonderful. We’ll definitely be back!",2 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,,,$90–100,4,5,3,,,,
5 stars,peter was amazing. super sweet and friendly:),2 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,Chef's Selection of Oysters,,,
5 stars,"This restaurant was an easy 5⭐️From service to serving everything was phenomenal. We had the calamari and chowder and then salmon and halibut for mains. Servings were hearty and tastes were decadent.
In the heart of Vancouvers shopping district it’s a 10/10 from me.",2 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,"Fabulous birthday dinner at COAST !
We requested a quiet table and were seated upstairs overlooking the restaurant which was ideal. Our server Jesse was great, totally informed, attentive and fun. Katya, our lovely sommelier had the perfect suggestion to complement our meal.
We tried several dishes and were pleasantly impressed. Highly recommend the crab cakes and the prawn dish with red curry coconut soba noodles. SO GOOD !
Other staff attending our table were pleasant and efficient which was very much appreciated. The “Happy Birthday” dessert was a sweet surprise.
COAST dinner menu is extensive and we already have in mind some dishes to try on our next visit. Thanks to all, we had a wonderful experience and will definitely be returning !",2 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,Peter was very attentive and extremely courteous! We celebrated our 18th anniversary with Coast and it was a wonderful experience! Thank you so much!!,3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$70–80,5,5,5,"Caesar Salad, Fish",,,
5 stars,The only thing better than the lobster roll was Isabel’s service! Top notch!,3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$50–60,5,5,5,Chef's Selection of Oysters,,,
5 stars,Isabel was a dream come true! She made our experience so fun and elevated. Excellent service and food.,3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Isabel was amazing! So attentive and on it.,3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,,,,
5 stars,Josh our server was FANTASTIC! Very attentive and so much fun! A  great evening.,3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$60–70,5,5,4,Hamachi Crudo,,,
5 stars,"A large group of us went to Coast, and were seated upstairs in one of the more ""private"" booths. We were thankful to be assisted by Isabel, who was quite knowledgeable of the menu, offerings, and was able to make thoughful suggestions. Will be returning for sure!",3 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,"Came by coast for a happy hour and highly recommend making a reso beforehand because it was sooo busy! Tried out a few of the menu items but unfortunately nothing was too impressive

Mussels - some were not as fresh as others. Thai sauce was good but wish all mussels were fresher

Wagyu carpaccio - it was ok, felt like there could have been more than 5 slices for the value but was pretty tasty

Calamari - fresh squid and liked the sauce that it came with

Crab dip - our fav of the night, very cheesy and tasty

Raspberry cake - so pretty and tasted as good as it looked",4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Stephen was great! He was very attentive and gave the best customer service.,4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,,3,5,5,,,,
5 stars,"Who is better than Oscar?
Happiness is on the menu in Vancouver.
Just head yourself to Coast Restaurant.
Happiness, amazing service and unexpected moments of laughter accompanied by amazing food awaits amidst a beautiful décor and the wonderful Oscar - the best place in town where you’ll want to come again and again.
Sylvie and Angie",4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,,,,,,,
5 stars,Fantastic Happy Hour experience with Stephen! His recommendations were spot on. 👌,4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$40–50,5,5,4,,,,
3 stars,"The restaurant has a nice atmosphere. We went there for the oyster happy hour, but the oysters were smaller than expected, which was a bit disappointing. There seemed to be a lot of servers; some provided good service, while others were just average. I think we wouldn’t come back.",4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,,,2,3,5,,,,
5 stars,No review text,4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,No review text,4 days ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
