Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"Exceptional Service

My husband. And I recently dined at Coast restaurant and I cannot say enough about the outstanding customer service I received.

Our server, Laura went above and beyond to ensure our experience was perfect. She was attentive, friendly, and incredibly knowledgeable about the menu, offering great recommendations that turned out to be absolutely delicious.

The atmosphere was warm and inviting, and it was clear that the staff genuinely cared about making our evening special.

We definitely be returning and recommending it to everyone I know. Thank you for such a wonderful dining experience!",2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,Gloria’s the best !,2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
5 stars,Our server Josh was lovely !,2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$20–30,5,5,5,Oysters on the Half Shell and Lemon Drop,,,
5 stars,"Nice & Cozy place to hang out in Downtown area during Happy Hours, Oysters are fresh and tasteful! Other appets. are also recommended especially the Crab Dip and Beef Carpaccio.",2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$40–50,5,3,4,,Somewhat difficult to find parking,"Paid street parking, Valet, Paid parking garage",
5 stars,"Dinner for two last Wednesday. Good food and a buzz of conversation in the restaurant made it a lovely night out-one we will repeat.
Thanks are due, firstly to Blaine for taking care of us, and to Mohit for making it all happen. (Don't go to Edinburgh man-stay in Vancouver!)",2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,"Fantastic experience! From the moment we arrived, we were met with amazing hospitality. Our manager Katya went above and beyond to ensure our experience was seamless—she recommended incredible dishes and wines, checked in with us throughout the evening, and made us feel truly valued as guests. Her attention to detail is top notch and we absolutely will be back! Their sablefish is a must try!",3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$70–80,5,5,5,Fish,,,
2 stars,"Came here with my family and spent over $300 with tip.  Here’s my experience:

FOOD: appetizers were okay.
MAIN: fish n chips were kinda small for the price
Lobster pasta: small portion and not enough lobster
Steak: was terrible.  Very expensive for low quality meat that was overcooked and chewy.  Way better at THE KEG
SERVICE: was very good
ATMOSPHERE: also good.

OVERALL:  The whole reason was the main dish and we had 3 mains and we can get everything better elsewhere for way less",3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,1,5,4,,,,
4 stars,"Attended a work event here, could be different for an independent outing",3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,4,4,3,,,,
5 stars,Dined at coast for happy hour and dinner and had the most amazing time thanks to Sally!! Can’t recommend her service enough she was so sweet and attentive will be back! The oysters and sushi were also really good!,3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,4,5,5,,,,
5 stars,"Andrew was amazing! The best server ever

Ask for Andrew for your events",3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
5 stars,Amazing dinner! Jacob took very good care of us.,3 days ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5,5,5,,,,
5 stars,Andrew took excellent care of us!,4 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5,5,5,Fish,,,
5 stars,"Came here last week for happy hour, the food was great, especially the crab dip. But was particularly impressed by our server, Peter. He was great! Super warm, attentive and professional. Always there when we needed him. Hope to get served by him again next time I’m in.",4 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$40–50,5,5,5,,,,
5 stars,"Had a great experience at Coast! We go often, and the food is consistently excellent. What distinguished our experience this time was our waiter, Peter, who was extremely professional in every way. He was very attentive and accommodating while also giving us privacy. He had great suggestions, painted a picture describing the food and, overall, made the experience a wonderful one. The Sunday/Monday set lobster menu is worth a try!",4 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,5,5,5,,,,
5 stars,"An Unforgettable Dining Experience at Coast Vancouver! Saturday Feb 22/2025.

My husband and I had an absolutely exceptional date night at Coast on Saturday, February 22, before heading to the symphony. From the moment we arrived, we were treated like royalty! Katya, the amazing sommelier, ensured we had the best seat in the house and took the time to educate me on the incredible wine selections, food suggestions and making the evening even more special. Also being greeted with a delicious glass of cold, Prosecco was the perfect starter to a fabulous meal.

Our server, Caili, was outstanding—attentive, knowledgeable, funny and genuinely warm. The service was seamless, making us feel both valued and pampered.
We were attending the Vancouver Metropolitan Orchestra evening so we had to have dinner early. We didn’t realize we came in on happy hour and absolutely enjoyed the variety of delicious appetizers.

And the food? Absolutely divine! Every dish was crafted to perfection, showcasing the incredible skill and passion of the chefs. Kudos to them for creating such memorable food!

A special thank you to the general manager, who engaged with us and made sure everything was beyond perfect. The combination of incredible service, exquisite food, and a welcoming atmosphere made this one of the best dining experiences we've ever had. Katya and Caili truly exemplify excellence in hospitality, and we can't wait to return!

Highly recommend Coast for an unforgettable dining experience!",4 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$50–60,5,5,5,"Sushi, Carpaccio, Hamachi",,,
5 stars,"Omg one of the best dining experiences I had so far, I would say the service and the servers were much better than the food because we had such a fun interaction, especially with Isabel and Ben and the manager Lindsay, she was a diva! Loved every interaction with her, she is very hospitable and experienced! Loved the experience and loved every interaction, kudos to Ben and Isabel for their wonderful service.",5 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5,5,3,"Coast, Calamari",,,
5 stars,"Great experience and food! Ben W was amazing and very personable, would definitely go back!",5 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,,,$100+,5,5,5,,,,
5 stars,Our server Ben.W was amazing. Great service and we had a great time would definitely come back and find him again!,5 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$30–40,,5,,Cake,Somewhat difficult to find parking,Paid parking lot,
5 stars,"Ben W was great, good banter",5 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$50–60,5,5,5,,,,
