Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
1 star,"The room had a credit card and was paid for before I checked in, shouldn't have needed a deposit, was forced to give one and the room wasn't even clean. The walls were disgusting, bathroom, unclean, sheets, no idea, service, none. Please do better. Especially with your customer service who were working on Tuesday feb25.",9 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,1,1,1,,,,
4 stars,No review text,15 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$40–50,4,5,4,Fish,,,
4 stars,Caili was the best server! Will for sure be back.,15 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,4,5,5,,,,
5 stars,Caili is the best server!!,15 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5,5,5,"Coast, Fish",,,
5 stars,"We were there for happy hour - food was amazing; atmosphere was great and the bar staff (Oscar, Jason, Ryan) were very attentive. Would highly recommend",15 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$70–80,5,5,5,"Oysters on the Half Shell and Lemon Drop, Beef Carpaccio, Carpaccio",,,
5 stars,"Great service, Caili was fantastic. Seafood and wine was phenomenal.",15 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,,,,,,,
5 stars,We did a group dinner at coast and Laura was our server. She was excellent!,17 hours ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,4,5,5,,,,
5 stars,"What a great place! From the moment we walked in, our waitress, Sallie, made us feel as if we had been a patron for years despite having only arrived from the UK the day before.
The atmosphere was very good and Sallie’s knowledge of the menu and her recommendations were excellent.
So good in fact that we have booked to go again tomorrow.
Can’t wait.",a day ago,2025-02-28,23-Feb-2025 to 01-Mar-2025,,Dinner,$90–100,5,5,5,"Oysters on the Half Shell and Lemon Drop, Coast",,,
5 stars,"Josh & Franklin are amazing. The service was exceptional. The food was so good. I would truly recommend Coast restaurant to my friends, family & hotel guests",a day ago,2025-02-28,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$40–50,5,5,5,,,,
5 stars,"My friend and I had exceptional service from our server Sallie. She knew when to check in on us and when to leave us alone. Despite arriving late she honoured us with a Happy Hour priced drink, and when she found out that my friend’s son got engaged that day she came with glasses of bubbly! We were not big paying clients but she treated us just the same! Thank you Sallie for your exceptional service, I hope to see you again soon.",2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
5 stars,"I was at Coast on alberni with my friend last week and the food was phenomenal but even better than the food…Isabel our server was absolutely amazing, great knowledge of the menu, pleasant to talk to and she was always there keeping my hydrated. Isabel needs a raise. She is the main reason I’ll be back and make sure to bring friends.

Thank you for making our experience amazing.",2 days ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5,5,5,Coast,,,
